"safegraph_place_id","parent_safegraph_place_id","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic"
sg:22f615de0da2476881ee260a3fecb8fe,,Broad Street Ministry,,39.946136,-75.164681,315 S Broad St,Philadelphia,PA,19107,US,"POLYGON ((-75.164199 39.9462, -75.16424 39.94599, -75.164374 39.946006, -75.164467 39.946015, -75.164467 39.946019, -75.164768 39.946054, -75.164727 39.946265, -75.164325 39.946219, -75.164326 39.946215, -75.164199 39.9462))",SHARED_POLYGON,false,false
sg:7f3e809fe52142918d7be8347ca1ddad,,Yarnphoria,,39.944706,-75.159085,1020 Pine St,Philadelphia,PA,19107,US,"POLYGON ((-75.159045 39.944747, -75.159045 39.944746, -75.159066 39.944657, -75.159125 39.944665, -75.159104 39.944754, -75.159103 39.944758, -75.159044 39.94475, -75.159045 39.944747))",OWNED_POLYGON,false,false
sg:808b1a3069c34974a052deb0263e8000,,State Farm,State Farm,39.94669,-75.158093,254 S 10th St,Philadelphia,PA,19107,US,"POLYGON ((-75.158164 39.946727, -75.158036 39.946712, -75.158023 39.946691, -75.157995 39.946688, -75.15799 39.946716, -75.157873 39.946701, -75.157883 39.946651, -75.158173 39.946689, -75.158164 39.946727))",OWNED_POLYGON,false,false
sg:8cab1065d95d4fc697595ed163c5ffdf,,Show of Hands,,39.944571,-75.15857,1006 Pine St,Philadelphia,PA,19107,US,"POLYGON ((-75.158573 39.944702, -75.158576 39.944692, -75.158518 39.944684, -75.158579 39.944405, -75.158638 39.944413, -75.158608 39.944549, -75.158603 39.944548, -75.158593 39.944592, -75.158613 39.944595, -75.158589 39.944704, -75.158573 39.944702))",OWNED_POLYGON,false,false
sg:cf70196ce0f6402ebc4a5acb8fc6a5d6,,Bright Parking,,39.954813,-75.155834,145 N 10th St,Philadelphia,PA,19107,US,"POLYGON ((-75.155889 39.954873, -75.155596 39.954836, -75.155609 39.954774, -75.15587 39.954806, -75.155872 39.954798, -75.155927 39.954805, -75.155942 39.954819, -75.155929 39.954874, -75.155889 39.954873))",SHARED_POLYGON,false,false
sg:0ea61d808b5f44cca1bd6cc615d37ac1,,Good Harvest 大丰收,,39.955515,-75.155594,937 Race St,Philadelphia,PA,19107,US,"POLYGON ((-75.155614 39.955609, -75.155555 39.955601, -75.155551 39.955601, -75.15559 39.955418, -75.155606 39.95542, -75.155607 39.955413, -75.15563 39.955416, -75.155629 39.955422, -75.155653 39.955425, -75.155614 39.955609))",SHARED_POLYGON,false,false
sg:3450009eebe0475d91cbe3af476d24f8,,Hallmark Cards,Hallmark Cards,39.950572,-75.159381,1125 Chestnut St,Philadelphia,PA,19107,US,"POLYGON ((-75.15934894520383 39.95038298268106, -75.1594884200726 39.950403544513655, -75.1594146593247 39.95075720706696, -75.1592711611424 39.950740757686425, -75.15934894520383 39.95038298268106))",OWNED_POLYGON,false,false
sg:477dabd2b03d4db48130417051c9c317,,The Trestle Inn,,39.9588,-75.156508,339 N 11th St,Philadelphia,PA,19107,US,"POLYGON ((-75.156672 39.958847, -75.156333 39.958804, -75.156344 39.958751, -75.156683 39.958795, -75.156672 39.958847))",OWNED_POLYGON,false,false
sg:50a1141b79f2469597a0c6d9bf8b8320,,Sahara Grill,,39.949149,-75.163661,1334 Walnut St,Philadelphia,PA,19107,US,"POLYGON ((-75.163536 39.949186, -75.16357 39.949035, -75.163634 39.949043, -75.163644 39.948992, -75.163628 39.94899, -75.16364 39.948933, -75.163768 39.948949, -75.163745 39.949055, -75.163758 39.949057, -75.163724 39.94921, -75.163536 39.949186))",SHARED_POLYGON,false,false
sg:6d760ffc31c047b8b020622baaa9f3e6,,The Independent Hotel,,39.947762,-75.162085,1234 Locust St,Philadelphia,PA,19107,US,"POLYGON ((-75.161858 39.947826, -75.161889 39.947678, -75.161975 39.947689, -75.161978 39.947706, -75.161965 39.947764, -75.161975 39.947743, -75.162323 39.947789, -75.162302 39.947888, -75.161857 39.947833, -75.161858 39.947826))",SHARED_POLYGON,false,false
sg:91dd1d9096204ed6bb5c0b012e0f8b8b,,Oath Pizza,,39.952134,-75.15856,1101 Market St,Philadelphia,PA,19107,US,"POLYGON ((-75.15863 39.952772, -75.158201 39.952718, -75.158189 39.952716, -75.158225 39.952549, -75.15823 39.952549, -75.158307 39.952193, -75.158311 39.952189, -75.158338 39.952065, -75.158333 39.952047, -75.15837 39.951875, -75.158774 39.951926, -75.158801 39.951942, -75.158695 39.952468, -75.158634 39.952773, -75.15863 39.952772))",SHARED_POLYGON,false,false
sg:e117b79f847743ffb23593e1380a6658,,Robert H Rosenwasser MD Jefferson Health,,39.948605,-75.156233,909 Walnut St Fl 2,Philadelphia,PA,19107,US,"POLYGON ((-75.15581 39.948704, -75.155881 39.948368, -75.156074 39.948393, -75.156071 39.948409, -75.156183 39.948423, -75.156186 39.94841, -75.156208 39.948413, -75.156205 39.948426, -75.156238 39.94843, -75.156241 39.948416, -75.156369 39.948432, -75.156366 39.948445, -75.156416 39.948452, -75.156344 39.94877, -75.156046 39.948732, -75.155843 39.948709, -75.15581 39.948704))",SHARED_POLYGON,false,false
sg:e69389e5fdbe456b93c3bf088432b282,,Restaurant Clicks,,39.956495,-75.160243,211 N 13th St Ste 800,Philadelphia,PA,19107,US,"POLYGON ((-75.160367 39.956715, -75.160049 39.956672, -75.160116 39.956373, -75.160114 39.956358, -75.160123 39.956319, -75.160435 39.95636, -75.160452 39.956363, -75.160405 39.956574, -75.160418 39.956576, -75.1604 39.956656, -75.160386 39.956655, -75.160373 39.956716, -75.160367 39.956715))",SHARED_POLYGON,false,false
sg:f8da6ba92e13430985928e53aa0b60d7,,S mart Snacks Store,,39.95626,-75.15591,224 N 10th St,Philadelphia,PA,19107,US,"POLYGON ((-75.156021 39.956298, -75.155788 39.956269, -75.155799 39.956221, -75.156031 39.95625, -75.156021 39.956298))",OWNED_POLYGON,false,false
sg:0e47ec18d69b45ca8fb7b77d93266d34,,Pho Cali,,39.953422,-75.156467,1000 Arch St,Philadelphia,PA,19107,US,"POLYGON ((-75.15654242412899 39.953366933898344, -75.15651694314334 39.95350546308251, -75.15639020876728 39.9534897853967, -75.1563887000247 39.95347744885458, -75.15642004834262 39.95334791502743, -75.15654242412899 39.953366933898344))",OWNED_POLYGON,,false
