safegraph_place_id,latitude,longitude,location_name,street_address,raw_visit_counts,distance_from_home,weighted_visit_counts,count_home_cbgs,visits_top_10_hours
sg:004461a947e94c5290bd5f3e0488a16f,39.952706,-75.164778,Dilworth Park,Market St & N 15th St,226,7453.0,2712.0,30,4.4
sg:14a2a83e1b9042e8acd41b9d5066e982,40.077943,-75.029891,CHAPMAN FORD SALES INC,9371 Roosevelt Blvd,29,7049.0,464.0,3,2.1
sg:1a3ab49c52c74de9b452db6f30fbada7,40.005618,-75.0958,Dunkin',1820 Torresdale Ave,40,3876.0,360.0,10,1.8
sg:1f059cf60ee442b78cb551c474952294,39.928672,-75.175152,Technesia,1805 S 18th St,43,405.0,1247.0,3,1.8
sg:2b9ee74a31254cb88faa8e6fd4599bef,39.960158,-75.240062,Something To Grow On Educational Center,5924 Chestnut St,18,4471.0,2295.0,1,1.4
sg:35e7c9ecd48340068644e8ad7a5e4e01,39.968051,-75.156529,El Skinny Grocery,830 N 12th St,30,5893.0,1875.0,2,1.5
sg:76d123b75c504072be8cbe73086c223d,39.916145,-75.16465,Nifty Fifty's,2654 S 10th St,45,1377.0,945.0,3,1.8
sg:91fbe3de6aeb4ca59531190679e7e028,39.993739,-75.13158299999998,Sheppard Isaac Sch,120 W Cambria St,12,,126.0,1,1.0
sg:976bd3d6735b4df49f3ef6f3ef748629,40.036133,-75.04048900000002,Santucci's Square Pizza and Restaurant,4010 Cottman Ave,29,1344.0,319.0,8,1.3
sg:be19312d3a3a4bcd8abd268057977ea1,40.002525,-75.068413,First Baptist Church of Bridesburg,2715 Kirkbride St,13,,1053.0,1,1.2
sg:d4e5a875ba404fffbacec8cecf6e6a82,40.013007,-75.072618,Trinidad Centere II,5024 Torresdale Ave,66,3437.0,6864.0,3,2.5
sg:dcc92377b581440ca9dedc64c2084a28,39.944921,-75.180619,Giant Food Stores,2303 Bainbridge St,24,723.0,456.0,7,1.1
sg:e7411604071146fda7ba28d54a9cbc3e,40.0957,-74.970499,Pfvy Decatur School,Academy & Torrey Rds,27,3857.0,6237.0,6,1.5
sg:f727a7f50ccd483a8d3482f1921296c1,40.026347,-75.14781500000002,Logan Childcare And Resource Center,4802 N Broad St,16,7242.0,1096.0,1,1.1
sg:10adc8074c594914bf5327321e90858a,40.003957,-75.127269,A B & Z Auto Service Body Work,106 E Venango St,12,,2904.0,1,1.0
sg:20438d4d42304d3aa2dd781621d5dd3d,40.009358,-75.174452,ShopRite,2800 Fox St,333,2956.0,8991.0,53,6.4
sg:2ed01398f58f4f77ba4631d8c860c5dc,39.954579,-75.163315,McDonald's,1401 Arch St,21,8305.0,504.0,3,1.2
sg:558fbc08b88e453fadf85d4e3e176202,40.031107,-75.06286999999998,Bella T's Pizza,2900 Levick St,30,5872.0,3735.0,2,1.3
sg:66f7b643197c4dfbb65849f489b04d84,40.055372,-75.08959200000002,Sunoco,6865 Rising Sun Ave,72,1331.0,648.0,6,2.2
sg:80346a7126ad4ccf968a77a4323a585b,40.038488,-75.124104,Bravo's Pizza Seafood House,5734 N 2nd St,36,2978.0,5814.0,2,1.4
sg:91edd3dde084432eae19a1a357f0acb8,40.08948400000001,-75.22521400000002,Morris Arboretum Park,Morris Arboretum Park,19,3726.0,760.0,2,1.2
sg:9a928161e8a64adaae1e71f7e8b2f6cd,40.081739,-75.026763,Chick-fil-A,9711 Roosevelt Blvd,172,4333.0,1892.0,33,5.5
sg:a0cd24ec56a54c72a44d604bba2081aa,39.943258,-75.168766,The Baker's Jar,625 S 16th St,21,5286.0,4851.0,1,1.1
sg:a52e1c39724043bba65f8c4e7507c9b2,40.063976,-75.153563,Dawns Breakfast,7182 Ogontz Ave,17,30351.0,8058.0,1,1.0
sg:a79a0dc8ce0847ea805c09418abc496e,39.944053,-75.16996400000002,Indian Restaurant,1634 South St,15,,1440.0,1,1.1
sg:cc0625f838864cf98c680e39558685c1,39.98775300000001,-75.16865899999998,House of Prayer,2160 N Van Pelt St,29,2177.0,4495.0,1,1.4
sg:cc2aa08489a74290bff3ee43b0d60aca,40.03442800000001,-75.215917,Dream House Asian Bistro,6127 Ridge Ave,13,3463.0,364.0,2,1.0
sg:ef14902781924412ab1600c371d31e91,40.044881,-75.145184,Johnson Childcare Center Inc,6000 Old York Rd,10,2362.0,1700.0,2,1.0
sg:0c0ce8eaf2244852a18fe885af7c374c,40.005814,-75.105775,Gaetano's Pizza,1135 E Erie Ave,23,3964.0,943.0,3,1.0
sg:1f7c1d793a4f4087bad6155cadf8b4e6,39.946733,-75.245592,Boost At Anderson,1034 S 60th St,18,1857.0,189.0,1,1.0
sg:218e00790ca64e0197e66cc37b1de642,39.945807,-75.217315,Massage Enby,4811 Springfield Ave,22,2265.0,2277.0,1,1.3
