Full-Service Restaurants,3034
Offices of Physicians (except Mental Health Specialists),1247
Religious Organizations,1075
Child Day Care Services,1062
Beauty Salons,853
Snack and Nonalcoholic Beverage Bars,671
Supermarkets and Other Grocery (except Convenience) Stores,629
Elementary and Secondary Schools,526
Fitness and Recreational Sports Centers,479
Offices of Dentists,443
Limited-Service Restaurants,442
General Automotive Repair,414
Commercial Banking,367
Insurance Agencies and Brokerages,301
Nail Salons,273
Pharmacies and Drug Stores,268
Nature Parks and Other Similar Institutions,267
Gasoline Stations with Convenience Stores,263
Offices of Mental Health Practitioners (except Physicians),235
Other Personal Care Services,232
"Automotive Body, Paint, and Interior Repair and Maintenance",232
Wireless Telecommunications Carriers (except Satellite),219
"Beer, Wine, and Liquor Stores",201
Women's Clothing Stores,200
All Other General Merchandise Stores,188
Home Health Care Services,176
Automotive Parts and Accessories Stores,165
Hotels (except Casino Hotels) and Motels,162
Tax Preparation Services,154
Family Clothing Stores,152
"Colleges, Universities, and Professional Schools",147
Jewelry Stores,141
Used Merchandise Stores,135
Hardware Stores,134
Convenience Stores,131
Used Car Dealers,129
All Other Amusement and Recreation Industries,127
Furniture Stores,122
Offices of Chiropractors,121
Optical Goods Stores,110
"Cosmetics, Beauty Supplies, and Perfume Stores",108
Electronics Stores,103
Florists,98
Malls,98
Medical Laboratories,97
Drycleaning and Laundry Services (except Coin-Operated),97
Musical Instrument and Supplies Stores,93
Sporting Goods Stores,89
Shoe Stores,89
Retail Bakeries,85
Pet and Pet Supplies Stores,81
Investment Advice,80
Libraries and Archives,76
Parking Lots and Garages,75
Motion Picture Theaters (except Drive-Ins),72
"Gift, Novelty, and Souvenir Stores",71
Carpet and Upholstery Cleaning Services,70
Book Stores,70
Pet Care (except Veterinary) Services,67
Veterinary Services,64
Fire Protection,62
Car Washes,61
Motor Vehicle Towing,60
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",59
Passenger Car Rental,59
Historical Sites,57
Kidney Dialysis Centers,57
Paint and Wallpaper Stores,56
Offices of Real Estate Agents and Brokers,54
Drinking Places (Alcoholic Beverages),54
Postal Service,54
Couriers and Express Delivery Services,53
All Other Home Furnishings Stores,50
Bowling Centers,50
"Photography Studios, Portrait",50
"Hobby, Toy, and Game Stores",45
"Sewing, Needlework, and Piece Goods Stores",43
Regulation and Administration of Transportation Programs,42
Fruit and Vegetable Markets,41
Museums,39
Lessors of Miniwarehouses and Self-Storage Units,39
Hazardous Waste Treatment and Disposal,39
Children's and Infants' Clothing Stores,37
Confectionery and Nut Stores,37
Other General Government Support,36
Breweries,36
Exam Preparation and Tutoring,36
Tobacco Stores,36
Department Stores,35
Office Supplies and Stationery Stores,31
All Other Miscellaneous Store Retailers (except Tobacco Stores),31
Assisted Living Facilities for the Elderly,30
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",28
Diet and Weight Reducing Centers,27
Fish and Seafood Markets,27
Baked Goods Stores,27
Art Dealers,27
Consumer Lending,26
Sign Manufacturing,25
Language Schools,23
Food (Health) Supplement Stores,23
Other Activities Related to Credit Intermediation,22
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",22
Golf Courses and Country Clubs,22
Video Tape and Disc Rental,21
Funeral Homes and Funeral Services,21
Amusement and Theme Parks,21
General Medical and Surgical Hospitals,20
Freestanding Ambulatory Surgical and Emergency Centers,20
Commercial Screen Printing,19
Specialty (except Psychiatric and Substance Abuse) Hospitals,19
New Car Dealers,17
Child and Youth Services,17
Footwear and Leather Goods Repair,16
Travel Agencies,15
RV (Recreational Vehicle) Parks and Campgrounds,15
Family Planning Centers,14
General Rental Centers,13
Fine Arts Schools,13
Line-Haul Railroads,12
Offices of Optometrists,12
All Other Nondepository Credit Intermediation,12
Wineries,12
"Plumbing, Heating, and Air-Conditioning Contractors",12
Home and Garden Equipment Repair and Maintenance,11
Employment Placement Agencies,11
Automotive Transmission Repair,10
Sports Teams and Clubs,10
Drugs and Druggists' Sundries Merchant Wholesalers,9
Other Clothing Stores,9
Industrial Machinery and Equipment Merchant Wholesalers,9
Clothing Accessories Stores,9
Other Construction Material Merchant Wholesalers,9
Junior Colleges,9
Men's Clothing Stores,9
Correctional Institutions,8
Boat Dealers,8
Police Protection,7
All Other Health and Personal Care Stores,7
All Other Personal Services,7
Taxi Service,6
All Other Transit and Ground Passenger Transportation,6
All Other Consumer Goods Rental,6
Offices of All Other Miscellaneous Health Practitioners,6
Cable and Other Subscription Programming,6
All Other Miscellaneous Ambulatory Health Care Services,6
Books Printing,6
Casinos (except Casino Hotels),6
Appliance Repair and Maintenance,5
Other Individual and Family Services,5
Luggage and Leather Goods Stores,5
Used Household and Office Goods Moving,5
Other Technical and Trade Schools,5
Automotive Oil Change and Lubrication Shops,5
Other Automotive Mechanical and Electrical Repair and Maintenance,5
"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",4
Other Support Activities for Air Transportation,4
Refrigeration Equipment and Supplies Merchant Wholesalers,4
Fossil Fuel Electric Power Generation,4
Miscellaneous Financial Investment Activities,4
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,4
Diagnostic Imaging Centers,4
Service Establishment Equipment and Supplies Merchant Wholesalers,4
International Affairs,4
Cosmetology and Barber Schools,4
Home Centers,4
Psychiatric and Substance Abuse Hospitals,4
Hydroelectric Power Generation,3
Meat Markets,3
All Other Outpatient Care Centers,3
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,3
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",3
Other Grocery and Related Products Merchant Wholesalers,3
Commercial Printing (except Screen and Books),3
Clay Building Material and Refractories Manufacturing,3
Sporting and Athletic Goods Manufacturing,3
Interurban and Rural Bus Transportation,3
Perishable Prepared Food Manufacturing,3
Floor Covering Stores,3
Automobile Driving Schools,3
Sporting and Recreational Goods and Supplies Merchant Wholesalers,3
Industrial Supplies Merchant Wholesalers,2
All Other Automotive Repair and Maintenance,2
Tire Dealers,2
Blood and Organ Banks,2
Securities Brokerage,2
"Roofing, Siding, and Insulation Material Merchant Wholesalers",2
Other Grantmaking and Giving Services,2
Other Airport Operations,2
Janitorial Services,2
All Other Specialty Food Stores,2
Other Chemical and Allied Products Merchant Wholesalers,2
All Other Miscellaneous Schools and Instruction,2
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,1
Lessors of Residential Buildings and Dwellings,1
All Other Support Services,1
Freight Transportation Arrangement,1
Direct Property and Casualty Insurance Carriers,1
Investment Banking and Securities Dealing,1
Hardware Merchant Wholesalers,1
Nursery and Tree Production,1
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",1
Automotive Glass Replacement Shops,1
Lessors of Other Real Estate Property,1
Barber Shops,1
Recyclable Material Merchant Wholesalers,1
Services for the Elderly and Persons with Disabilities,1
Packing and Crating,1
Other Building Material Dealers,1
General Warehousing and Storage,1
Security Systems Services (except Locksmiths),1
General Line Grocery Merchant Wholesalers,1
Residential Remodelers,1
Flight Training,1
Women's Handbag and Purse Manufacturing,1
Automobile and Other Motor Vehicle Merchant Wholesalers,1
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",1
